column_position,column_name,provider_description,feature_role,core_decision,decision_reason,provisional_core_input,value_treatment
1,FLOW_START_MILLISECONDS,Flow start timestamp in milliseconds,temporal_provenance,exclude_from_core,"Retained for provenance and possible temporal splitting, but excluded from per-record core input.",False,retain_for_provenance_but_exclude_from_model
2,FLOW_END_MILLISECONDS,Flow end timestamp in milliseconds,temporal_provenance,exclude_from_core,"Retained for provenance and possible temporal splitting, but excluded from per-record core input.",False,retain_for_provenance_but_exclude_from_model
3,IPV4_SRC_ADDR,IPv4 source address,direct_identifier,exclude_from_core,Direct endpoint identifier with high dataset-specific shortcut-learning risk.,False,retain_for_audit_but_exclude_from_model
4,L4_SRC_PORT,IPv4 source port number,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
5,IPV4_DST_ADDR,IPv4 destination address,direct_identifier,exclude_from_core,Direct endpoint identifier with high dataset-specific shortcut-learning risk.,False,retain_for_audit_but_exclude_from_model
6,L4_DST_PORT,IPv4 destination port number,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
7,PROTOCOL,IP protocol identifier byte,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
8,L7_PROTO,Layer 7 protocol (numeric),encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
9,IN_BYTES,Incoming number of bytes,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
10,IN_PKTS,Incoming number of packets,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
11,OUT_BYTES,Outgoing number of bytes,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
12,OUT_PKTS,Outgoing number of packets,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
13,TCP_FLAGS,Cumulative of all TCP flags,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
14,CLIENT_TCP_FLAGS,Cumulative of all client TCP flags,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
15,SERVER_TCP_FLAGS,Cumulative of all server TCP flags,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
16,FLOW_DURATION_MILLISECONDS,Flow duration in milliseconds,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
17,DURATION_IN,Client to Server stream duration (msec),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
18,DURATION_OUT,Client to Server stream duration (msec),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
19,MIN_TTL,Min flow TTL,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
20,MAX_TTL,Max flow TTL,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
21,LONGEST_FLOW_PKT,Longest packet (bytes) of the flow,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
22,SHORTEST_FLOW_PKT,Shortest packet (bytes) of the flow,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
23,MIN_IP_PKT_LEN,Len of the smallest flow IP packet observed,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
24,MAX_IP_PKT_LEN,Len of the largest flow IP packet observed,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
25,SRC_TO_DST_SECOND_BYTES,Src to dst Bytes/sec,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_record_and_encode_nonfinite_state_explicitly
26,DST_TO_SRC_SECOND_BYTES,Dst to src Bytes/sec,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_record_and_encode_nonfinite_state_explicitly
27,RETRANSMITTED_IN_BYTES,Number of retransmitted TCP flow bytes (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
28,RETRANSMITTED_IN_PKTS,Number of retransmitted TCP flow packets (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
29,RETRANSMITTED_OUT_BYTES,Number of retransmitted TCP flow bytes (dst->src),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
30,RETRANSMITTED_OUT_PKTS,Number of retransmitted TCP flow packets (dst->src),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
31,SRC_TO_DST_AVG_THROUGHPUT,Src to dst average thpt (bps),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
32,DST_TO_SRC_AVG_THROUGHPUT,Dst to src average thpt (bps),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
33,NUM_PKTS_UP_TO_128_BYTES,Packets whose IP size <= 128,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
34,NUM_PKTS_128_TO_256_BYTES,Packets whose IP size > 128 and <= 256,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
35,NUM_PKTS_256_TO_512_BYTES,Packets whose IP size > 256 and <= 512,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
36,NUM_PKTS_512_TO_1024_BYTES,Packets whose IP size > 512 and <= 1024,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
37,NUM_PKTS_1024_TO_1514_BYTES,Packets whose IP size >��1024 and <= 1514,quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
38,TCP_WIN_MAX_IN,Max TCP Window (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
39,TCP_WIN_MAX_OUT,Max TCP Window (dst->src),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
40,ICMP_TYPE,ICMP Type * 256 + ICMP code,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
41,ICMP_IPV4_TYPE,ICMP Type,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
42,DNS_QUERY_ID,DNS query transaction Id,transaction_identifier,exclude_from_core,Transaction identifier whose numeric magnitude is not an ordered behavioural measurement.,False,retain_for_audit_but_exclude_from_model
43,DNS_QUERY_TYPE,"DNS query type (e.g. 1=A, 2=NS..)",encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
44,DNS_TTL_ANSWER,TTL of the first A record (if any),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
45,FTP_COMMAND_RET_CODE,FTP client command return code,encoded_categorical_candidate,requires_encoding_review,Numeric code or flag requiring semantic treatment rather than automatic continuous interpretation.,True,retain_raw_code_and_review_semantic_encoding
46,SRC_TO_DST_IAT_MIN,Minimum Inter-Packet Arrval Time (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
47,SRC_TO_DST_IAT_MAX,Maximum Inter-Packet Arrval Time (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
48,SRC_TO_DST_IAT_AVG,Average Inter-Packet Arrval Time (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
49,SRC_TO_DST_IAT_STDDEV,Sandard Deviaion Inter-Packet Arrval Time (src->dst),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
50,DST_TO_SRC_IAT_MIN,Minimum Inter-Packet Arrval Time (dst > src),quantitative_candidate,provisional_include,Quantitative network-flow measurement provisionally eligible for the core feature set.,True,retain_quantitative_value
